caseno relat sempl act
0400081H 1 1 2
0407224H 1 1 1
0409032H 1 1 2
0408741H 1 1 2
0418862H 1 1 2
0420640H 1 1 2
0417515H 1 1 2
0423304H 1 1 2
0428408H 1 1 2
0426692H 1 1 2
0425694H 1 1 2
0430269H 1 1 2
0439006H 1 1 2
0444141H 1 1 1
0448853H 1 1 2
0449225H 1 1 1
0455917H 1 1 1
0455505H 1 1 2
0450967H 1 1 1
0459048H 1 1 1
0459392H 1 1 1
0457378H 1 1 3
0466003H 1 1 1
0466136H 1 1 2
0466442H 1 1 3
0466366H 1 1 2
0469590H 1 1 1
0455682H 1 1 3
0466466H 1 1 2
0472233H 1 1 2
0472953H 1 1 1
0471814H 1 1 2
0476572H 1 1 1
0476757H 1 1 2
0480250H 1 0 3
0482129H 1 1 1
0482276H 1 1 3
0489537H 1 1 1
0500274H 1 0 1
0507299H 1 1 2
0512329H 1 0 1
0513974H 2 1 2
0511924H 1 1 1
0519798H 1 1 1
0525420H 1 1 1
0527085H 1 1 2
0528428H 1 1 2
0525601H 1 1 1
0533890H 1 1 1
0535406H 1 0 2
0537540H 1 1 2
0539207H 1 1 1
0542481H 1 1 1
0542755H 1 1 1
0546632H 1 1 2
0545946H 1 1 3
0548065H 1 1 3
0551117H 1 1 1
0551458H 1 1 1
0555113H 1 1 2
0560089H 1 1 2
0553131H 1 1 1
0561956H 1 1 1
0563708H 1 1 3
0556775H 1 1 1
0564709H 1 1 1
0577377H 1 1 1
0578809H 2 1 1
0579314H 1 1 2
0575307H 1 1 1
0590111H 1 0 2
0584440H 1 0 3
0593625H 1 1 1
0593703H 3 1 2
0599154H 2 0 2
0599392H 2 1 1
0599713H 1 0 2
0606958H 1 0 3
0610677H 1 1 1
0612000H 1 1 2
0617318H 1 1 3
0623011H 1 1 1
0004661I 2 1 1
0006452I 1 1 1
0016814I 3 1 1
0036036I 1 1 1
0051586I 1 1 1
0051754I 1 1 2
0053738I 1 1 2
0054710I 1 1 1
